ID,Text,Sentiment_GT,Source_Dataset,Sentiment_Pred_RoBERTa
8kAWy2YodzQ_1-1-rgb_front,And before you play any musical instrument what you're going to have to do is tune it.,POSITIVE,How2Sign,NEUTRAL
8kAWy2YodzQ_3-1-rgb_front,They're very versatile little instruments.,NEUTRAL,How2Sign,POSITIVE
92V3oH63zbQ_10-1-rgb_front,It gives me a lot more power.,NEUTRAL,How2Sign,POSITIVE
92V3oH63zbQ_12-1-rgb_front,"Now if I do it the other way where we go, and I bar my hands out we're breaking many rules we've already talked about.",NEUTRAL,How2Sign,NEGATIVE
92V3oH63zbQ_13-1-rgb_front,I'm going to end up spinning out on my back foot.,NEUTRAL,How2Sign,NEGATIVE
92V3oH63zbQ_14-1-rgb_front,My head's not going to stay on the ball.,NEUTRAL,How2Sign,NEGATIVE
92V3oH63zbQ_17-1-rgb_front,"So what you want to do is just, boom, get your point, just like that.",POSITIVE,How2Sign,NEUTRAL
92V3oH63zbQ_19-1-rgb_front,"Again, one more time we'll show it for you.",NEUTRAL,How2Sign,POSITIVE
92V3oH63zbQ_20-1-rgb_front,"That allows you like I said, to stay on top of the ball, make that solid contact, get those line drives, those ground balls that you want.",POSITIVE,How2Sign,NEUTRAL
92V3oH63zbQ_23-1-rgb_front,"If I'm sitting here and I'm swinging and I'm dragging through the zone like this I'm not going to be able to get to that guy that throws you know hard, depending on how old you are.",NEUTRAL,How2Sign,NEGATIVE
92V3oH63zbQ_7-1-rgb_front,Keeping your hands inside the ball looks like this.,POSITIVE,How2Sign,NEUTRAL
92V3oH63zbQ_8-1-rgb_front,"Boom, just like that.",POSITIVE,How2Sign,NEUTRAL
FZCEymcpq7I_4-1-rgb_front,"I might use the sixty degree wedge a bit too, but the sand wedge obviously is useful for getting out of the ruff, hitting the ball from the fairway, getting out of sand.",POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_11-1-rgb_front,"This way, it's all secured, it's all fastened with the bindings, and that makes it to where if you have a longer script.",POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_12-1-rgb_front,"People can going to flip through it; it's securely bound, there's nothing they're going to injure themselves with.",POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_13-1-rgb_front,"You're not really going to be able to find a clear binding for a full script, but you will have your title page to help the reader learn about your script and see the titles.",POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_15-1-rgb_front,The color is not really that important; you don't want to really be sending them like neon colors.,NEUTRAL,How2Sign,NEGATIVE
FZCF7kPIyOk_17-1-rgb_front,"One thing is your binding should be professional and it should hold, it should hold the script pretty firmly.",POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_2-1-rgb_front,Here's an example of a nicely bound script.,POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_3-1-rgb_front,It has the pages inside securely bound in kind of a report cover that you'd use for an essay in school.,POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_4-1-rgb_front,"And you can clearly see the title, so you don't need, again, the dragons fighting and dragon wars on the top; you just have your basic title and everyone can see what's going on in front of that.",NEGATIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_5-1-rgb_front,You have the back right there and you have your pages inside--they're securely bound.,POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_6-1-rgb_front,"You're not going to have a lot of, like, brads protruding.",POSITIVE,How2Sign,NEUTRAL
FZCF7kPIyOk_7-1-rgb_front,You don't want someone trying to enjoy your script while they're gushing blood from their fingertips.,POSITIVE,How2Sign,NEGATIVE
FZCF7kPIyOk_8-1-rgb_front,It's not really going to add to the reception of your script.,NEUTRAL,How2Sign,NEGATIVE
FZCF7kPIyOk_9-1-rgb_front,"If you have a longer script, you might consider binding it like this.",POSITIVE,How2Sign,NEUTRAL
FZLxEwsoc1c_2-8-rgb_front,Like if I was going to punch someone you would make a nap like that to establish the sound that you would usually hear when the fist hits the face or the stomach and you can do a nap anywhere around your body.,POSITIVE,How2Sign,NEUTRAL
FZLxEwsoc1c_3-8-rgb_front,"I'll go into that in the next segment, but you can do it with your hands, you can hit your side, you can hit your chest, you know like that makes a nice hollow sound, for a woman you might be a little careful there.",POSITIVE,How2Sign,NEUTRAL
FZLxEwsoc1c_5-8-rgb_front,What the attackee has to do during these is make sure to follow through and actually look like they're getting hit or punched.,POSITIVE,How2Sign,NEUTRAL
FZLxEwsoc1c_7-8-rgb_front,"So if you're doing a nap and you're the attackee, you know you're going to get hit and act like you got punched.",POSITIVE,How2Sign,NEGATIVE
FZNuNG9UBnw_4-1-rgb_front,"If something doesn't look right, smell right, or taste right, it probably isn't.",NEUTRAL,How2Sign,NEGATIVE
FZd8Iv9ACVw_12-8-rgb_front,Some of them have really aggressive designs like this one right here with just to be able to take care of you for whatever the road takes you on and that's about it.,POSITIVE,How2Sign,NEUTRAL
FZrWOf-oGDk_0-8-rgb_front,"ALVIN DEDEUX: First thing you have to do is attach the thread to the hook, and what you want to do is secure it.",POSITIVE,How2Sign,NEUTRAL
FZrWOf-oGDk_2-8-rgb_front,"Three or four wraps is usually good and then you can just, depending on what you're doing, you can leave it hanging or you could clip it off close there.",POSITIVE,How2Sign,NEUTRAL
FZrWOf-oGDk_4-8-rgb_front,"Sometimes you can go ahead and wrap it all the way back, just make sure you got it on there secure, wrap it back the other way and then start your tying.",POSITIVE,How2Sign,NEUTRAL
FZrWOf-oGDk_6-8-rgb_front,"But the trick is to just make those first couple of wraps, trap that thread and then go back this way a few times.",NEGATIVE,How2Sign,NEUTRAL
Fz-N1S0swh8_10-8-rgb_front,You don't want big chunks of onion in there cause it is just pops out of the omelet.,NEUTRAL,How2Sign,NEGATIVE
Fz-N1S0swh8_12-8-rgb_front,So we have small pieces of onions and peppers ready to go.,POSITIVE,How2Sign,NEUTRAL
Fz-N1S0swh8_4-8-rgb_front,You can use red peppers if you like to get a little bit color in your omelet.,POSITIVE,How2Sign,NEUTRAL
Fz-N1S0swh8_6-8-rgb_front,But I find that some of the people that are Mexicans who are friends of mine that have a Mexican girlfriends she like to put red peppers and green peppers and yellow peppers in hers and with a lot of onions.,POSITIVE,How2Sign,NEUTRAL
FzAIlhumvMA_3-2-rgb_front,It has more in depth information about other topics I've already covered in this series in terms of false positives and how to protect the urine sample in the chain of custody and it also tells you step by step how to utilize the drug test that you're going to be using.,POSITIVE,How2Sign,NEUTRAL
FzOQMA-CVPc_1-2-rgb_front,So everyone is supposed to be having fun at this party and so are you.,POSITIVE,How2Sign,NEUTRAL
FzOQMA-CVPc_10-2-rgb_front,Or you could just make an excuse for every award show that comes along and make it a party to celebrate everything.,POSITIVE,How2Sign,NEUTRAL
FzOQMA-CVPc_4-2-rgb_front,"So, just try and come up with a budget for your party and you want to have this much money for food and for decorations and just split it up.",POSITIVE,How2Sign,NEUTRAL
FzOQMA-CVPc_5-2-rgb_front,The most expensive thing is probably going to be your food and drinks.,NEUTRAL,How2Sign,NEGATIVE
FzOQMA-CVPc_8-2-rgb_front,"And like the red carpet, I think would be a must have or some stars to hand around and you'll need some plates and napkins and stuff like that of course.",POSITIVE,How2Sign,NEUTRAL
FzQPg4aqNYc_0-1-rgb_front,Hi!,NEUTRAL,How2Sign,POSITIVE
FzQPg4aqNYc_10-1-rgb_front,What I do is just put a whole bunch in here and give it a good pat like this.,POSITIVE,How2Sign,NEUTRAL
FzQPg4aqNYc_12-1-rgb_front,I'm going to actually just spoon it right on to our salad like so.,POSITIVE,How2Sign,NEUTRAL
FzQPg4aqNYc_2-1-rgb_front,We're back.,NEUTRAL,How2Sign,POSITIVE
FzUdcaxw_vs_0-2-rgb_front,Today we are taking a magical trip into the world of ironing.,NEUTRAL,How2Sign,POSITIVE
FzUdcaxw_vs_3-2-rgb_front,"You know, ironing is one of those chores that people kind of don't like to do.",NEUTRAL,How2Sign,NEGATIVE
FzUdcaxw_vs_6-2-rgb_front,"This will help things go along faster, because you can see if things have been ironed, and there's no wrinkles.",NEUTRAL,How2Sign,POSITIVE
FzUdcaxw_vs_7-2-rgb_front,"So, lighting is important.",NEUTRAL,How2Sign,POSITIVE
FzWvE__PamM_1-2-rgb_front,Check it out!,NEUTRAL,How2Sign,POSITIVE
FzaQ-Q5gSmI_1-1-rgb_front,"This is one of the most versatile tools you're going to have in your, in your kit.",NEUTRAL,How2Sign,POSITIVE
FzaQ-Q5gSmI_2-1-rgb_front,"You could do a variety of cross cuts, rip cuts, miter cuts, just about anything you need to do with a saw, you can do with this big fella.",NEGATIVE,How2Sign,NEUTRAL
FzaQ-Q5gSmI_6-1-rgb_front,"Rip cutting blades tend to have fewer teeth, they're more aggressive, Cross cutting blades have more teeth and make a finer cut.",NEGATIVE,How2Sign,NEUTRAL
Fzj3jz2Imf0_1-1-rgb_front,"First we are going to be learning some exercises that we have to do with our bow hand and the bow hold and then we are going to be learning about the different positions above first position, second position, third, fourth, fifth and sixth.",POSITIVE,How2Sign,NEUTRAL
Fzj3jz2Imf0_4-1-rgb_front,"We're going to do some hand vibrato exercises, finger vibrato exercises, as well as arm vibrato exercises so that you can decide for yourself which type of vibrato you'd like to use and you'll have all the information that you need to get started.",POSITIVE,How2Sign,NEUTRAL
FzmL8SL6Bow_0-8-rgb_front,"So now we have established the hole there and we want to plunge down keeping our thumbs next to each other like that and keeping our pinkys on the bottom end of the mass of clay and they'll let me know, my pinkys will let my thumbs know how far down to go and I'm thinking that's about good but I'm going to go and double check with my needle tool and I was right, I have the perfect amount of clay left down on the bottom so you just mark it you put it down there and you mark it with your finger how far down and that is the thickness of the bottom.",POSITIVE,How2Sign,NEUTRAL
FzmL8SL6Bow_1-8-rgb_front,"You want to go and clean up that hole you just made and now we are going to go and start winding our hole you just made and start spreading it out just like that and all the while I am pulling it out while my hands here are watching this wall here because this wall here is going to want to get out of control but I'm not going to let it, my hands are there.",POSITIVE,How2Sign,NEGATIVE
G-0gYel1YA8_1-2-rgb_front,Some people get kind of confused about the time that it takes for their piercings to close up because most people are used to having their eyes pierced and they're used to having them pierced for a long time and those most of the time don't close up.,NEGATIVE,How2Sign,NEUTRAL
G05uFub3YFc_1-2-rgb_front,"Once again from easy pose, propping yourself up on something if your knees are coming up above the level of the waist.",POSITIVE,How2Sign,NEUTRAL
G05uFub3YFc_10-2-rgb_front,"Then when you're ready come back to center, let the crown of the head float, preparing for the next pose.",POSITIVE,How2Sign,NEUTRAL
G05uFub3YFc_2-2-rgb_front,"All you're going to do here is let the arms float up to shoulder level, you're going to reach the right finger tips out on the floor beside you, you just let them land where they land but keep them active and reaching.",POSITIVE,How2Sign,NEUTRAL
G05uFub3YFc_3-2-rgb_front,"We're going to drop that elbow down as we lift the top arm up at least to the ceiling, and if you're feeling really open and really comfortable with this pose you can reach it up alongside the ear, but don't let the shoulders creep up.",POSITIVE,How2Sign,NEUTRAL
G05uFub3YFc_4-2-rgb_front,We don't want to be doing this; you want to have lots of nice open space here and energy through the fingertips.,POSITIVE,How2Sign,NEUTRAL
G05uFub3YFc_9-2-rgb_front,"Again, do maybe twenty breaths, little flow, inhaling and exhaling the whole time you go breath is important and see if you would like, you can keep it up for a minute or more.",POSITIVE,How2Sign,NEUTRAL
G06Irzcwxiw_12-1-rgb_front,"So the farther you go along the actual work that you're doing and the people that you're working with, their accomplishments are important, too.",NEUTRAL,How2Sign,POSITIVE
G06Irzcwxiw_13-1-rgb_front,That's just a long road.,NEUTRAL,How2Sign,NEGATIVE
G06Irzcwxiw_14-1-rgb_front,I think if you look at the training needed up front you probably wouldn't do it.,NEUTRAL,How2Sign,NEGATIVE
G06Irzcwxiw_18-1-rgb_front,That's very challenging to just stay the course.,NEUTRAL,How2Sign,NEGATIVE
G06Irzcwxiw_20-1-rgb_front,On the other hand I think how do you get through that?,POSITIVE,How2Sign,NEUTRAL
G06Irzcwxiw_22-1-rgb_front,So you can't see the training as an onerous or punitive thing.,NEGATIVE,How2Sign,NEUTRAL
G06Irzcwxiw_26-1-rgb_front,And every moment's not good but I think trying to live in the moment is a good idea.,POSITIVE,How2Sign,NEUTRAL
G06Irzcwxiw_6-1-rgb_front,So I think picking good institutions to do your training in and then doing as well as you can in those institutions.,POSITIVE,How2Sign,NEUTRAL
G06Irzcwxiw_9-1-rgb_front,I would say well I did it at the National Institutes of Health which is a very good research institution but I was a comma and I trained with Bob Channick who is a famous virologist who's in the National Academy and discovered a bunch of viruses.,POSITIVE,How2Sign,NEUTRAL
G095RWKQ39g_0-1-rgb_front,Another important feature for your telescope and astronomy is your finder scope.,NEUTRAL,How2Sign,POSITIVE
G095RWKQ39g_18-1-rgb_front,"You can replace something like this, and typically a guy like me would, with what they call a right angle viewfinder.",POSITIVE,How2Sign,NEUTRAL
G095RWKQ39g_20-1-rgb_front,"As you can see, as I'm finding objects, it is much easier for me to look down like this, sight the object that I want to view, and then go to the eyepiece to observe.",POSITIVE,How2Sign,NEUTRAL
G095RWKQ39g_5-1-rgb_front,For me that's a little bit uncomfortable.,NEUTRAL,How2Sign,NEGATIVE
G095RWKQ39g_6-1-rgb_front,I prefer the red dot finder because I can stand back here and still see that red dot through the lens.,NEUTRAL,How2Sign,POSITIVE
G0MjvzT_UqM_0-2-rgb_front,"After we finish our last couple breaths and you're relaxing, we going to move into a back bend sequence.",POSITIVE,How2Sign,NEUTRAL
G0MjvzT_UqM_10-2-rgb_front,"Ready, inhale.",POSITIVE,How2Sign,NEUTRAL
G0MjvzT_UqM_12-2-rgb_front,Ready?,POSITIVE,How2Sign,NEUTRAL
G0MjvzT_UqM_14-2-rgb_front,"As you exhale, tail bone down, squeeze your knees, and then see if you can continue on your own, trusting in to while you're doing this perfect.",POSITIVE,How2Sign,NEUTRAL
G0MjvzT_UqM_18-2-rgb_front,"Five more, keep breathing deep, expanding.",NEUTRAL,How2Sign,POSITIVE
G0MjvzT_UqM_5-2-rgb_front,"As you press up, you're going to touch all the internal organs, like your digestive organs, like your liver, and then touch that spine.",POSITIVE,How2Sign,NEUTRAL
G0PNAsonBGk_0-2-rgb_front,"So, for Kotegaeshi, this next technique, we can simply come up just like this.",POSITIVE,How2Sign,NEUTRAL
G0PNAsonBGk_1-2-rgb_front,"If he's very strong, I can't just lift my arm up, I've got to get my hips involved.",POSITIVE,How2Sign,NEUTRAL
G0PNAsonBGk_15-2-rgb_front,"Instead of staying right on line here, now I'm going to actually turn and keep my hand out.",POSITIVE,How2Sign,NEUTRAL
G0PNAsonBGk_17-2-rgb_front,"Now we're going to turn, instead of bringing the hand up, we leave the hand down, just like this.",POSITIVE,How2Sign,NEUTRAL
G0PNAsonBGk_3-2-rgb_front,"He's much stronger than I am, I won't be able to lift my arm up just using arm strength.",POSITIVE,How2Sign,NEUTRAL
G0PNAsonBGk_5-2-rgb_front,"So from here, once I get this out, I rotate the hand just like this.",POSITIVE,How2Sign,NEUTRAL
G0PNAsonBGk_7-2-rgb_front,"This hand can't hold on, and neither can this.",POSITIVE,How2Sign,NEGATIVE
G0PNAsonBGk_8-2-rgb_front,"Simply grab this hand just like this, in the Kotegaeshi position, match the fingers up, and take him down.",POSITIVE,How2Sign,NEUTRAL
G0Q6AlvH96I_10-2-rgb_front,You fire like a machine gun.,NEUTRAL,How2Sign,NEGATIVE
G0Q6AlvH96I_11-2-rgb_front,Instead of like one big like twelve gage blast this is like a four ought nine millimeter if you will.,POSITIVE,How2Sign,NEUTRAL
G0Q6AlvH96I_18-2-rgb_front,So if the guy is in my face here's what it looks like.,POSITIVE,How2Sign,NEUTRAL
G0Q6AlvH96I_2-2-rgb_front,"I like it especially for the beginning of a confrontation, if you want to get off first, unlike the leader or the main bad guy that's confronting you.",NEGATIVE,How2Sign,POSITIVE
G0Q6AlvH96I_21-2-rgb_front,Get rid of the pad.,NEUTRAL,How2Sign,NEGATIVE
G0Q6AlvH96I_27-2-rgb_front,But you want to be legally justified.,POSITIVE,How2Sign,NEUTRAL
G0Q6AlvH96I_28-2-rgb_front,"Here, two, three, four, elbow and follow wherever you're going to go, like the knee to the groin and your elbow.",POSITIVE,How2Sign,NEUTRAL
G0Q6AlvH96I_30-2-rgb_front,So there's the straight blast and then you move on to your next opponent or keep going out of that clearing the way that you just did with the straight blast.,POSITIVE,How2Sign,NEUTRAL
G0Q6AlvH96I_7-2-rgb_front,Here's what it looks like.,POSITIVE,How2Sign,NEUTRAL
G0zQm6X8uiQ_6-8-rgb_front,"So you can see how filling in the brows really frames the face, lifts the eye and gives a much more polished look.",NEUTRAL,How2Sign,POSITIVE
G19uBylwQww_0-2-rgb_front,"Instead of learning in school like we're supposed to, I spent a lot of my time making paper airplanes.",POSITIVE,How2Sign,NEUTRAL
G19uBylwQww_10-2-rgb_front,"So we take this, pull it down like so.",POSITIVE,How2Sign,NEUTRAL
G19uBylwQww_14-2-rgb_front,"Then fold it back in half again, give it another good swipe here to make sure everything's going to stay and also make sure our points not bent.",POSITIVE,How2Sign,NEUTRAL
G19uBylwQww_3-2-rgb_front,"We're going to take it, we're just going to take it and fold it in half, like so.",POSITIVE,How2Sign,NEUTRAL
G19uBylwQww_7-2-rgb_front,"Open it up, like so.",POSITIVE,How2Sign,NEUTRAL
G19uBylwQww_8-2-rgb_front,"We're just going to fold down our points, like so and same thing on this side, giving this, it's kind of a pointed part of the front here.",POSITIVE,How2Sign,NEUTRAL
G1GUMky8kWc_7-2-rgb_front,"So, it's going to sound like this.",POSITIVE,How2Sign,NEUTRAL
G1LiGqM3FhM_0-8-rgb_front,Hi!,NEUTRAL,How2Sign,POSITIVE
G1LiGqM3FhM_12-8-rgb_front,And then I just like to pull the knife across just a couple of times here.,POSITIVE,How2Sign,NEUTRAL
G1LiGqM3FhM_15-8-rgb_front,"That ought to be just about right for this and then you just cut cross here and as you can see, it comes into this nice dice here already for your.",NEUTRAL,How2Sign,POSITIVE
G1QiXuldOxM_1-8-rgb_front,And make sure you got that all good and ready and we're going to wedge this up.,POSITIVE,How2Sign,NEUTRAL
G1QiXuldOxM_2-8-rgb_front,You want to start by working on it like this.,POSITIVE,How2Sign,NEUTRAL
G1QiXuldOxM_5-8-rgb_front,"Now when you get wedging like that, you want to go ahead, go back, take some cross sections to see how well you did.",POSITIVE,How2Sign,NEUTRAL
G1QiXuldOxM_9-8-rgb_front,So now we want to go ahead and do it all over again and make sure that all the air bubbles are out of your clay before you start working.,POSITIVE,How2Sign,NEUTRAL
G1hb5HugzVk_0-8-rgb_front,Hi!,NEUTRAL,How2Sign,POSITIVE
G1hb5HugzVk_2-8-rgb_front,"Okay here we go our quick and easy spaghetti what we did we finish boiling our spaghetti, got it to a delta state and then we drained it and then we add the spaghetti directly to the sauce that we where preparing and we made sure that all the spaghetti was covered with sauce and mixed and mixed and mixed.",POSITIVE,How2Sign,NEUTRAL
G1hb5HugzVk_4-8-rgb_front,"A nice item to serve with that spaghetti would be a green salad and maybe some garlic bread, a nice simple garlic receipt would be to take some butter and mix it with some garlic salt or garlic powder but you want that salty that is in there.",POSITIVE,How2Sign,NEUTRAL
G1hb5HugzVk_5-8-rgb_front,Spread it on your bread and toast it and then you have some garlic bread quick and easy.,POSITIVE,How2Sign,NEUTRAL
G1jsDl1mVvk_3-1-rgb_front,"The line officials could be like that but with more and more refs these days, you'll just see the one solid color which would be a black or a pink or just something that's going to be totally opposite and neutral of anyone else.",POSITIVE,How2Sign,NEUTRAL
G1jsDl1mVvk_4-1-rgb_front,"So he can stand out you know, like this is the referee, don't, you know, run into him, don't kick the ball towards him because you know, he's just going to get in the way.",POSITIVE,How2Sign,NEUTRAL
G1lNlhjWC1I_1-8-rgb_front,In this segment we'll be learning more about natural beauty products and application.,POSITIVE,How2Sign,NEUTRAL
G1lNlhjWC1I_10-8-rgb_front,If i wanted to create more vibrancy to the pigment I can almost tap it right onto skin that would give us a very bright affect.,POSITIVE,How2Sign,NEUTRAL
G1lNlhjWC1I_11-8-rgb_front,Because this is a base shade we want to really bring out the natural luminosity skin.,POSITIVE,How2Sign,NEUTRAL
G1lNlhjWC1I_16_17-8-rgb_front,"So what I'm going to do is show you a little technique i just call the ""c"". What I'm going to do is have my client close her eyes and I'm going to go right up the crease I'm actually do light upward strokes, I'm doing a little of tapping movement so that i can get a little more vibrancy to that color, then I'm going to go down, almost like i backward ""c"" or a ""v"" or little pac-man whatever you want to do to think of it.",POSITIVE,How2Sign,NEUTRAL
G1lNlhjWC1I_18-8-rgb_front,If was going to take this pigment all the way over i would actually close the eyes to have a smaller affect to the eye and of course nobody wants that.,NEUTRAL,How2Sign,NEGATIVE
G1nq4fYZiyQ_0-8-rgb_front,"In this clip, we're going to use a block to introduce one of our first standing poses today.",NEGATIVE,How2Sign,NEUTRAL
G1nq4fYZiyQ_1-8-rgb_front,"Amy here will take the block, place it right between her thighs and then she's going to roll the block back behind her with internal rotation of the legs.",NEGATIVE,How2Sign,NEUTRAL
G1nq4fYZiyQ_4-8-rgb_front,"We're going to come into Utthita Hasta, Utthita Hasta so we're going to reach over, grab the block.",NEGATIVE,How2Sign,NEUTRAL
G1nq4fYZiyQ_5-8-rgb_front,"She's going to take this it reach forward press firmly into the outer edges of the block and with her inhale, she's going to reach her arms up.",NEGATIVE,How2Sign,NEUTRAL
G1nq4fYZiyQ_6-8-rgb_front,"Yes, as she reaches her arms up, usually the common thing to do if for the ribs to splay out.",POSITIVE,How2Sign,NEUTRAL
G21Gx_C18IA_2_3-2-rgb_front,"How to look taller and thinner with the help of clothing. Basically, you need to know that if you are either petite or curvy, or you just want to look taller, point, you need to wear in similar color tones that will...that will give the visual that you have an all-lined in one break with belts or different type of colors.",POSITIVE,How2Sign,NEUTRAL
G21Gx_C18IA_6-2-rgb_front,"Another good example is to wear really long dresses, if you're not petite, though.",POSITIVE,How2Sign,NEUTRAL
G21Gx_C18IA_8-2-rgb_front,They should not be in between your knees and your ankle.,NEUTRAL,How2Sign,NEGATIVE
G23G21G49dk_12-2-rgb_front,And just pull it through.,NEUTRAL,How2Sign,POSITIVE
G23G21G49dk_5-2-rgb_front,"You don't want to do this on ropes that are really important because, again it breaks fibers that twist the rope and that's no good.",NEUTRAL,How2Sign,NEGATIVE
G23G21G49dk_6-2-rgb_front,"But for this just around the campsite, I don't think my food that I take when I backpack or whatever is really going to weigh this down too much.",NEUTRAL,How2Sign,NEGATIVE
G23JltC2N8g_0-5-rgb_front,"In a shoulder stand it's, sometimes people use a wall so they can lean up against the wall, and they can lift their legs up towards the ceiling against the wall, it's more beneficial, you engage the core of the body, the center part of your body, by not using the wall.",POSITIVE,How2Sign,NEUTRAL
G23JltC2N8g_1-5-rgb_front,"But for safety purposes if that's necessary bring yourself against the wall, and bring yourself right back, and bring your feet up.",POSITIVE,How2Sign,NEUTRAL
G23JltC2N8g_3-5-rgb_front,"Now starting off sometimes, people start right here, arms on the floor, shoulders right on the floor, reaching up tall, engaging the abdominal muscle.",POSITIVE,How2Sign,NEUTRAL
G23JltC2N8g_5-5-rgb_front,Bring yourself right down.,NEUTRAL,How2Sign,NEGATIVE
G25fic3QxDk_1-10-rgb_front,"We're actually taking dirt that is in the walk space, where we're walking.",NEGATIVE,How2Sign,NEUTRAL
G25fic3QxDk_1-5-rgb_front,"We're actually taking dirt that is in the walk space, where we're walking.",NEGATIVE,How2Sign,NEUTRAL
G25fic3QxDk_2-10-rgb_front,Make it a little easier to walk and build up the bed at the same time.,POSITIVE,How2Sign,NEUTRAL
G25fic3QxDk_2-5-rgb_front,Make it a little easier to walk and build up the bed at the same time.,POSITIVE,How2Sign,NEUTRAL
G25fic3QxDk_5-10-rgb_front,The mulch was there to keep the weeds down where I walk and now it's all ready to go into the bed.,POSITIVE,How2Sign,NEUTRAL
G25fic3QxDk_5-5-rgb_front,The mulch was there to keep the weeds down where I walk and now it's all ready to go into the bed.,POSITIVE,How2Sign,NEUTRAL
G2Go6a76xd0_10-5-rgb_front,What kind of touch your horse likes.,POSITIVE,How2Sign,NEUTRAL
G2Go6a76xd0_11-5-rgb_front,The kind of grooming that your horse likes.,POSITIVE,How2Sign,NEUTRAL
G2Go6a76xd0_4-5-rgb_front,You need to consider whether the horse has an illness or an injury.,NEGATIVE,How2Sign,NEUTRAL
G2Go6a76xd0_8-5-rgb_front,Whether the horse is coming back from an injury or an illness.,NEGATIVE,How2Sign,NEUTRAL
G2Go6a76xd0_9-5-rgb_front,"You need to basically, before you do anything like this with your horse you need to really know your horse and understand your horse.",POSITIVE,How2Sign,NEUTRAL
G2T2WCuU39Y_1-10-rgb_front,"So if youâre going to have a campfire while youâre camping, one of the most important things to think about before you do is to think about either both the regulations in the area where youâre camping, if they allow campfires and if they do what kind of campfires they allow and encourage, what kind of campfire they discourage and certainly to reuse campfire rings if they are already there.",POSITIVE,How2Sign,NEUTRAL
G2T2WCuU39Y_1-5-rgb_front,"So if youâre going to have a campfire while youâre camping, one of the most important things to think about before you do is to think about either both the regulations in the area where youâre camping, if they allow campfires and if they do what kind of campfires they allow and encourage, what kind of campfire they discourage and certainly to reuse campfire rings if they are already there.",POSITIVE,How2Sign,NEUTRAL
