video_name,filename,Sentiment,original_caption,whisper_transcript,WER,STATUS
154108.mp4,154108_negative_score-1.wav,-1,"""Today I went out and the weather was lousy."" ""No, it's beautiful and warm outside. It's perfect."""," Today, I went out and the weather was lousy. Now, it's beautiful and warm outside. It's perfect.",0.0588,KEEP
36298782.mp4,36298782_negative_score-2.wav,-2,The weather is lousy today., The weather is lousy today.,0.0,KEEP
844052.mp4,844052_positive_score2.wav,2,"If my friend goes out to a party, I will join them for sure."," If my friend goes out to a party, I will join them for sure.",0.0,KEEP
29019.mp4,29019_positive_score3.wav,3,"Last night, I played a close game of basketball with my friend. The score was 30-28 when it ended."," last night, I played a close game of basketball with my friend. The score was 30-28 when it ended.",0.0,KEEP
31655088.mp4,31655088_positive_score3.wav,3,My family vacations every year in Florida because they love the sun., And my family vacations every year in Florida because they love the sun.,0.0833,KEEP
255033.mp4,255033_positive_score2.wav,2,"The baby is just deaf. It's not their fault, they're doing perfectly fine.", The baby is just deaf. It's not their fault. They're doing perfectly fine.,0.0,KEEP
7343510.mp4,7343510_positive_score1.wav,1,"If my friends go out, I will join them."," If my friends go out, I will join them.",0.0,KEEP
7986818.mp4,7986818_positive_score2.wav,2,"Is it raining outside? No, it's beautiful and warm outside."," Is it raining outside? No, it's beautiful and warm outside.",0.0,KEEP
31658341.mp4,31658341_negative_score-1.wav,-1,My friend crashed the party last night., My friend crashed the party last night.,0.0,KEEP
2682847.mp4,2682847_negative_score-3.wav,-3,The car is broken., The car is broken.,0.0,KEEP
845675.mp4,845675_positive_score3.wav,3,"My friend loves travelling, especially in Asian countries because there`s more of a variety of things to do, compared to other countries."," And my friend loves traveling, especially in Asian countries, because there's more of a variety of things to do compared to other countries.",0.0909,KEEP
845473.mp4,845473_positive_score3.wav,3,My friend is planning to surprise Bob because he's turning 21., My friend is planning to surprise Bob because he's turning 21.,0.0,KEEP
844457.mp4,844457_positive_score3.wav,3,"When my friend goes out fishing, the fish has to go in the bucket immediately so it will be fresh."," When my friend goes out fishing, the fish has to go in the bucket immediately. So it will be fresh.",0.0,KEEP
253917.mp4,253917_negative_score-1.wav,-1,"Ask another group, the CRASHED group about the car and whether if the glass is broken."," ask another group, the crashed group, about the car and whether if the glass is broken.",0.0,KEEP
35420258.mp4,35420258_negative_score-1.wav,-1,"A student went on a quiz TV show, but he didn`t win."," A student went on a quiz TV show, but he didn't win.",0.0,KEEP
7981490.mp4,7981490_positive_score3.wav,3,Bob wrote and sent a love letter to his wife because their anniversary is coming up soon., Bob wrote and sent a love letter to his wife because their university is coming up soon.,0.0588,KEEP
8395473.mp4,8395473_negative_score-3.wav,-3,Jim threatened to sue the man who punched him., Jim threatened to sue the man who punched him.,0.0,KEEP
3378954.mp4,3378954_positive_score2.wav,2,The student who won the award will get a $100 voucher., The student who won the award will get a $100 voucher.,0.0,KEEP
29931.mp4,29931_negative_score-2.wav,-2,"Honestly, if I fail this class, my mom will lose it."," Honestly, if I fell this class, my mom will lose it.",0.0909,KEEP
69413690.mp4,69413690_negative_score-3.wav,-3,Last night I rented an awful movie.," Last night, I rented an awful movie.",0.0,KEEP
17590198.mp4,17590198_negative_score-3.wav,-3,My worst enemy is my alarm clock., My worst enemy is my alarm clock.,0.0,KEEP
7983658.mp4,7983658_negative_score-1.wav,-1,Did Bob give the rose to his sweetheart?, Did Bob give the rose to his sweetheart?,0.0,KEEP
7343915.mp4,7343915_negative_score-3.wav,-3,My mother tends to be in a bad mood if Father arrives home late., My mother tends to be in a bad mood if father arrives home late.,0.0,KEEP
24480520.mp4,24480520_negative_score-1.wav,-1,"Deaf people made progress with the growth of signing.  The progress could have been greater, but it wasn't permitted."," Again, deaf people made progress with the growth of signing. The progress could have been greater, but it wasn't permitted.",0.0526,KEEP
3379053.mp4,3379053_positive_score2.wav,2,"If the student wins an award, he will get a $100 gift card.", If the student wins an award. He will get a $100 gift card.,0.0,KEEP
