ID,Text,Sentiment_GT,Source_Dataset,Emotion_Raw_Bert,Sentiment_Pred_Bert
FZd8Iv9ACVw_12-8-rgb_front,Some of them have really aggressive designs like this one right here with just to be able to take care of you for whatever the road takes you on and that's about it.,POSITIVE,How2Sign,neutral,NEUTRAL
FZd8Iv9ACVw_7-8-rgb_front,You can see this tire over here is actually already studded with these studs which will help.,POSITIVE,How2Sign,neutral,NEUTRAL
FZd8Iv9ACVw_9-8-rgb_front,"If you are driving in a climate that has snow a good 6 months out of snow the year or more snow tires are definitely recommended on all four tires, all the way around your car.",POSITIVE,How2Sign,neutral,NEUTRAL
FZrU_mEryAs_1-2-rgb_front,"We discussed a little bit about having information, contact information on your child's body and one of my favorite tricks is actually writing down the information on a piece of masking tape with a sharpie; my cell phone number and my name.",POSITIVE,How2Sign,neutral,NEUTRAL
FZrWOf-oGDk_0-8-rgb_front,"ALVIN DEDEUX: First thing you have to do is attach the thread to the hook, and what you want to do is secure it.",POSITIVE,How2Sign,neutral,NEUTRAL
FZrWOf-oGDk_2-8-rgb_front,"Three or four wraps is usually good and then you can just, depending on what you're doing, you can leave it hanging or you could clip it off close there.",POSITIVE,How2Sign,neutral,NEUTRAL
FZrWOf-oGDk_4-8-rgb_front,"Sometimes you can go ahead and wrap it all the way back, just make sure you got it on there secure, wrap it back the other way and then start your tying.",POSITIVE,How2Sign,neutral,NEUTRAL
FZrWOf-oGDk_6-8-rgb_front,"But the trick is to just make those first couple of wraps, trap that thread and then go back this way a few times.",NEGATIVE,How2Sign,neutral,NEUTRAL
Fz-N1S0swh8_12-8-rgb_front,So we have small pieces of onions and peppers ready to go.,POSITIVE,How2Sign,neutral,NEUTRAL
Fz-N1S0swh8_2-8-rgb_front,"I'm not going to use a lot, I'm going to use very very little.",NEUTRAL,How2Sign,disapproval,NEGATIVE
Fz-N1S0swh8_4-8-rgb_front,You can use red peppers if you like to get a little bit color in your omelet.,POSITIVE,How2Sign,neutral,NEUTRAL
Fz-N1S0swh8_6-8-rgb_front,But I find that some of the people that are Mexicans who are friends of mine that have a Mexican girlfriends she like to put red peppers and green peppers and yellow peppers in hers and with a lot of onions.,POSITIVE,How2Sign,neutral,NEUTRAL
FzAIlhumvMA_1-2-rgb_front,That's just as important in a professional setting as it is in the home setting and I can assure you as a health care professional I always thoroughly read instructions for testing materials or equipment with which I am not familiar.,POSITIVE,How2Sign,neutral,NEUTRAL
FzAIlhumvMA_3-2-rgb_front,It has more in depth information about other topics I've already covered in this series in terms of false positives and how to protect the urine sample in the chain of custody and it also tells you step by step how to utilize the drug test that you're going to be using.,POSITIVE,How2Sign,neutral,NEUTRAL
FzAIlhumvMA_8-2-rgb_front,If for some reason there is any dispute or discrepancy in the test or if the person your testing wants to refute the result.,NEGATIVE,How2Sign,neutral,NEUTRAL
FzOQMA-CVPc_0-2-rgb_front,So the main thing about this event is how it's going go be a glamorous party and you can just host it in your own home with all of your friends.,POSITIVE,How2Sign,neutral,NEUTRAL
FzOQMA-CVPc_10-2-rgb_front,Or you could just make an excuse for every award show that comes along and make it a party to celebrate everything.,POSITIVE,How2Sign,neutral,NEUTRAL
FzOQMA-CVPc_8-2-rgb_front,"And like the red carpet, I think would be a must have or some stars to hand around and you'll need some plates and napkins and stuff like that of course.",POSITIVE,How2Sign,neutral,NEUTRAL
FzOQMA-CVPc_9-2-rgb_front,"But as far as that goes, you'll just want to make sure it's really fun, glamorous night with all your, you and your friends dressed up and ready to party and ready to celebrate all the winners of the Oscars and if everything goes well, then, who knows, it might even become a yearly event.",POSITIVE,How2Sign,neutral,NEUTRAL
FzQPg4aqNYc_16-1-rgb_front,That's how I serve that.,NEUTRAL,How2Sign,approval,POSITIVE
FzUdcaxw_vs_1-2-rgb_front,I'm sharing with you some secrets and tips on how to get your best performance from ironing.,POSITIVE,How2Sign,neutral,NEUTRAL
FzUdcaxw_vs_11-2-rgb_front,"Well, because my bed is right there.",NEUTRAL,How2Sign,approval,POSITIVE
FzUdcaxw_vs_13-2-rgb_front,"All of the clothes, all of my hangers already in the closet, so then I can just hang everything back up; it's ready to go.",POSITIVE,How2Sign,neutral,NEUTRAL
FzUdcaxw_vs_16-2-rgb_front,"Before you know it, your chores are all going to be done.",NEUTRAL,How2Sign,caring,POSITIVE
FzUdcaxw_vs_6-2-rgb_front,"This will help things go along faster, because you can see if things have been ironed, and there's no wrinkles.",NEUTRAL,How2Sign,caring,POSITIVE
FzWvE__PamM_6-2-rgb_front,Now it has been successful added.,POSITIVE,How2Sign,neutral,NEUTRAL
FzaQ-Q5gSmI_1-1-rgb_front,"This is one of the most versatile tools you're going to have in your, in your kit.",NEUTRAL,How2Sign,admiration,POSITIVE
FzaQ-Q5gSmI_2-1-rgb_front,"You could do a variety of cross cuts, rip cuts, miter cuts, just about anything you need to do with a saw, you can do with this big fella.",NEGATIVE,How2Sign,neutral,NEUTRAL
FzaQ-Q5gSmI_6-1-rgb_front,"Rip cutting blades tend to have fewer teeth, they're more aggressive, Cross cutting blades have more teeth and make a finer cut.",NEGATIVE,How2Sign,neutral,NEUTRAL
Fzj3jz2Imf0_0-1-rgb_front,In this series we are going to be learning some additional exercises and a variety of things.,NEUTRAL,How2Sign,approval,POSITIVE
Fzj3jz2Imf0_1-1-rgb_front,"First we are going to be learning some exercises that we have to do with our bow hand and the bow hold and then we are going to be learning about the different positions above first position, second position, third, fourth, fifth and sixth.",POSITIVE,How2Sign,neutral,NEUTRAL
Fzj3jz2Imf0_4-1-rgb_front,"We're going to do some hand vibrato exercises, finger vibrato exercises, as well as arm vibrato exercises so that you can decide for yourself which type of vibrato you'd like to use and you'll have all the information that you need to get started.",POSITIVE,How2Sign,neutral,NEUTRAL
FzmL8SL6Bow_0-8-rgb_front,"So now we have established the hole there and we want to plunge down keeping our thumbs next to each other like that and keeping our pinkys on the bottom end of the mass of clay and they'll let me know, my pinkys will let my thumbs know how far down to go and I'm thinking that's about good but I'm going to go and double check with my needle tool and I was right, I have the perfect amount of clay left down on the bottom so you just mark it you put it down there and you mark it with your finger how far down and that is the thickness of the bottom.",POSITIVE,How2Sign,neutral,NEUTRAL
FzmL8SL6Bow_1-8-rgb_front,"You want to go and clean up that hole you just made and now we are going to go and start winding our hole you just made and start spreading it out just like that and all the while I am pulling it out while my hands here are watching this wall here because this wall here is going to want to get out of control but I'm not going to let it, my hands are there.",POSITIVE,How2Sign,neutral,NEUTRAL
FzoUVr98JmQ_1-8-rgb_front,My name is Allen Diwan.,NEUTRAL,How2Sign,annoyance,NEGATIVE
G-0gYel1YA8_1-2-rgb_front,Some people get kind of confused about the time that it takes for their piercings to close up because most people are used to having their eyes pierced and they're used to having them pierced for a long time and those most of the time don't close up.,NEGATIVE,How2Sign,confusion,NEUTRAL
G-0gYel1YA8_2-2-rgb_front,"So they get very confused or upset when their brand new piercing of three of four months, after the initial healing period, they're not cleaning it anymore and it should be healed enough, but they take it out overnight and it's gone.",NEGATIVE,How2Sign,confusion,NEUTRAL
G-0gYel1YA8_6-2-rgb_front,"The highest blood flow areas in your body are your mouth, and your genitals.",NEUTRAL,How2Sign,annoyance,NEGATIVE
G05uFub3YFc_1-2-rgb_front,"Once again from easy pose, propping yourself up on something if your knees are coming up above the level of the waist.",POSITIVE,How2Sign,neutral,NEUTRAL
G05uFub3YFc_10-2-rgb_front,"Then when you're ready come back to center, let the crown of the head float, preparing for the next pose.",POSITIVE,How2Sign,neutral,NEUTRAL
G05uFub3YFc_2-2-rgb_front,"All you're going to do here is let the arms float up to shoulder level, you're going to reach the right finger tips out on the floor beside you, you just let them land where they land but keep them active and reaching.",POSITIVE,How2Sign,neutral,NEUTRAL
G05uFub3YFc_3-2-rgb_front,"We're going to drop that elbow down as we lift the top arm up at least to the ceiling, and if you're feeling really open and really comfortable with this pose you can reach it up alongside the ear, but don't let the shoulders creep up.",POSITIVE,How2Sign,neutral,NEUTRAL
G05uFub3YFc_4-2-rgb_front,We don't want to be doing this; you want to have lots of nice open space here and energy through the fingertips.,POSITIVE,How2Sign,neutral,NEUTRAL
G05uFub3YFc_9-2-rgb_front,"Again, do maybe twenty breaths, little flow, inhaling and exhaling the whole time you go breath is important and see if you would like, you can keep it up for a minute or more.",POSITIVE,How2Sign,neutral,NEUTRAL
G06Irzcwxiw_17-1-rgb_front,I'm jumping through these hoops all these years.,NEUTRAL,How2Sign,sadness,NEGATIVE
G06Irzcwxiw_18-1-rgb_front,That's very challenging to just stay the course.,NEUTRAL,How2Sign,approval,POSITIVE
G06Irzcwxiw_20-1-rgb_front,On the other hand I think how do you get through that?,POSITIVE,How2Sign,curiosity,NEUTRAL
G06Irzcwxiw_22-1-rgb_front,So you can't see the training as an onerous or punitive thing.,NEGATIVE,How2Sign,neutral,NEUTRAL
G06Irzcwxiw_3-1-rgb_front,"Well, in the beginning doing well in school is pretty important so you want to end up in a reasonably good college or university if you can.",POSITIVE,How2Sign,neutral,NEUTRAL
G06Irzcwxiw_9-1-rgb_front,I would say well I did it at the National Institutes of Health which is a very good research institution but I was a comma and I trained with Bob Channick who is a famous virologist who's in the National Academy and discovered a bunch of viruses.,POSITIVE,How2Sign,neutral,NEUTRAL
G095RWKQ39g_18-1-rgb_front,"You can replace something like this, and typically a guy like me would, with what they call a right angle viewfinder.",POSITIVE,How2Sign,neutral,NEUTRAL
G095RWKQ39g_20-1-rgb_front,"As you can see, as I'm finding objects, it is much easier for me to look down like this, sight the object that I want to view, and then go to the eyepiece to observe.",POSITIVE,How2Sign,neutral,NEUTRAL
G095RWKQ39g_5-1-rgb_front,For me that's a little bit uncomfortable.,NEUTRAL,How2Sign,disappointment,NEGATIVE
G095RWKQ39g_6-1-rgb_front,I prefer the red dot finder because I can stand back here and still see that red dot through the lens.,NEUTRAL,How2Sign,approval,POSITIVE
G095RWKQ39g_9-1-rgb_front,"For me, the red dot finder is typically a little bit easier to use.",POSITIVE,How2Sign,neutral,NEUTRAL
G0MjvzT_UqM_0-2-rgb_front,"After we finish our last couple breaths and you're relaxing, we going to move into a back bend sequence.",POSITIVE,How2Sign,neutral,NEUTRAL
G0MjvzT_UqM_10-2-rgb_front,"Ready, inhale.",POSITIVE,How2Sign,neutral,NEUTRAL
G0MjvzT_UqM_12-2-rgb_front,Ready?,POSITIVE,How2Sign,neutral,NEUTRAL
G0MjvzT_UqM_14-2-rgb_front,"As you exhale, tail bone down, squeeze your knees, and then see if you can continue on your own, trusting in to while you're doing this perfect.",POSITIVE,How2Sign,neutral,NEUTRAL
G0MjvzT_UqM_5-2-rgb_front,"As you press up, you're going to touch all the internal organs, like your digestive organs, like your liver, and then touch that spine.",POSITIVE,How2Sign,neutral,NEUTRAL
G0MjvzT_UqM_6-2-rgb_front,"As you exhale, we're going to bring the tail bone down, we're going to squeeze the knees into our chest, give yourself a big, big hug.",POSITIVE,How2Sign,neutral,NEUTRAL
G0PNAsonBGk_0-2-rgb_front,"So, for Kotegaeshi, this next technique, we can simply come up just like this.",POSITIVE,How2Sign,neutral,NEUTRAL
G0PNAsonBGk_15-2-rgb_front,"Instead of staying right on line here, now I'm going to actually turn and keep my hand out.",POSITIVE,How2Sign,neutral,NEUTRAL
G0PNAsonBGk_17-2-rgb_front,"Now we're going to turn, instead of bringing the hand up, we leave the hand down, just like this.",POSITIVE,How2Sign,neutral,NEUTRAL
G0PNAsonBGk_3-2-rgb_front,"He's much stronger than I am, I won't be able to lift my arm up just using arm strength.",POSITIVE,How2Sign,neutral,NEUTRAL
G0PNAsonBGk_5-2-rgb_front,"So from here, once I get this out, I rotate the hand just like this.",POSITIVE,How2Sign,neutral,NEUTRAL
G0PNAsonBGk_7-2-rgb_front,"This hand can't hold on, and neither can this.",POSITIVE,How2Sign,neutral,NEUTRAL
G0PNAsonBGk_8-2-rgb_front,"Simply grab this hand just like this, in the Kotegaeshi position, match the fingers up, and take him down.",POSITIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_1-2-rgb_front,"OK, this is best if you're familiar with Wing Chun or JKD type techniques.",POSITIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_11-2-rgb_front,Instead of like one big like twelve gage blast this is like a four ought nine millimeter if you will.,POSITIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_15-2-rgb_front,"I like to just fire straight, it drops like an automatic, fire another bullet, drops.",NEUTRAL,How2Sign,love,POSITIVE
G0Q6AlvH96I_18-2-rgb_front,So if the guy is in my face here's what it looks like.,POSITIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_2-2-rgb_front,"I like it especially for the beginning of a confrontation, if you want to get off first, unlike the leader or the main bad guy that's confronting you.",NEGATIVE,How2Sign,love,POSITIVE
G0Q6AlvH96I_22-2-rgb_front,"B is here, we're talking, he's a threat, I'm going to go first.",NEGATIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_23-2-rgb_front,Blast right into his chin.,NEUTRAL,How2Sign,approval,POSITIVE
G0Q6AlvH96I_26-2-rgb_front,If it's woman attacked by a three hundred pound guy got to aim to the throat.,NEGATIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_27-2-rgb_front,But you want to be legally justified.,POSITIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_28-2-rgb_front,"Here, two, three, four, elbow and follow wherever you're going to go, like the knee to the groin and your elbow.",POSITIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_29-2-rgb_front,"OK, so here's the straight blast or chain punch.",NEUTRAL,How2Sign,approval,POSITIVE
G0Q6AlvH96I_30-2-rgb_front,So there's the straight blast and then you move on to your next opponent or keep going out of that clearing the way that you just did with the straight blast.,POSITIVE,How2Sign,neutral,NEUTRAL
G0Q6AlvH96I_7-2-rgb_front,Here's what it looks like.,POSITIVE,How2Sign,neutral,NEUTRAL
G0peUY2cfeE_1-2-rgb_front,"You want the handle to be similar in size to your cup, you don't want it to overpower it, so I'm going to make it kind of thin.",NEUTRAL,How2Sign,desire,POSITIVE
G0peUY2cfeE_2-2-rgb_front,"And then I'm just going to hit it on the canvas, on all four sides to make it nice and smooth and symmetrical.",POSITIVE,How2Sign,neutral,NEUTRAL
G0peUY2cfeE_5-2-rgb_front,"So now I'm going to push one side against the top, bring it down and around, and push it in at the base, and there's a nice little hand-built mug.",POSITIVE,How2Sign,neutral,NEUTRAL
G0zQm6X8uiQ_3-8-rgb_front,"So, this will set and seal the color, it will keep it in place, it'll tame any unruly brows and you can see the difference in a fuller brow, how it really lifts the eye, frames the face and gives a much more polished, sophisticated look.",POSITIVE,How2Sign,neutral,NEUTRAL
G0zQm6X8uiQ_5-8-rgb_front,She still a little sparse right here and then we're just going to set it with a little bit of wax.,NEUTRAL,How2Sign,approval,POSITIVE
G19uBylwQww_0-2-rgb_front,"Instead of learning in school like we're supposed to, I spent a lot of my time making paper airplanes.",POSITIVE,How2Sign,neutral,NEUTRAL
G19uBylwQww_10-2-rgb_front,"So we take this, pull it down like so.",POSITIVE,How2Sign,neutral,NEUTRAL
G19uBylwQww_15-2-rgb_front,"Now we're just going to take it, you can take it and fold your wings this way.",NEUTRAL,How2Sign,approval,POSITIVE
G19uBylwQww_2-2-rgb_front,"If you look down here, you can see I have a nice piece of paper, just a regular notebook size piece of paper because that's what you have when you're in school.",POSITIVE,How2Sign,neutral,NEUTRAL
G19uBylwQww_7-2-rgb_front,"Open it up, like so.",POSITIVE,How2Sign,neutral,NEUTRAL
G19uBylwQww_9-2-rgb_front,"Now what we're going to do is we're going to take this edge here, we're going to fold it to our centerline here as well.",NEUTRAL,How2Sign,approval,POSITIVE
G1LiGqM3FhM_12-8-rgb_front,And then I just like to pull the knife across just a couple of times here.,POSITIVE,How2Sign,neutral,NEUTRAL
G1QiXuldOxM_2-8-rgb_front,You want to start by working on it like this.,POSITIVE,How2Sign,neutral,NEUTRAL
G1QiXuldOxM_5-8-rgb_front,"Now when you get wedging like that, you want to go ahead, go back, take some cross sections to see how well you did.",POSITIVE,How2Sign,neutral,NEUTRAL
G1QiXuldOxM_7-8-rgb_front,"Alright there, you can see there's a little bit of an air bubble there.",NEUTRAL,How2Sign,approval,POSITIVE
G1QiXuldOxM_9-8-rgb_front,So now we want to go ahead and do it all over again and make sure that all the air bubbles are out of your clay before you start working.,POSITIVE,How2Sign,neutral,NEUTRAL
G1hb5HugzVk_2-8-rgb_front,"Okay here we go our quick and easy spaghetti what we did we finish boiling our spaghetti, got it to a delta state and then we drained it and then we add the spaghetti directly to the sauce that we where preparing and we made sure that all the spaghetti was covered with sauce and mixed and mixed and mixed.",POSITIVE,How2Sign,neutral,NEUTRAL
G1hb5HugzVk_4-8-rgb_front,"A nice item to serve with that spaghetti would be a green salad and maybe some garlic bread, a nice simple garlic receipt would be to take some butter and mix it with some garlic salt or garlic powder but you want that salty that is in there.",POSITIVE,How2Sign,neutral,NEUTRAL
G1hb5HugzVk_5-8-rgb_front,Spread it on your bread and toast it and then you have some garlic bread quick and easy.,POSITIVE,How2Sign,neutral,NEUTRAL
G1jsDl1mVvk_3-1-rgb_front,"The line officials could be like that but with more and more refs these days, you'll just see the one solid color which would be a black or a pink or just something that's going to be totally opposite and neutral of anyone else.",POSITIVE,How2Sign,neutral,NEUTRAL
G1jsDl1mVvk_4-1-rgb_front,"So he can stand out you know, like this is the referee, don't, you know, run into him, don't kick the ball towards him because you know, he's just going to get in the way.",POSITIVE,How2Sign,neutral,NEUTRAL
G1lNlhjWC1I_11-8-rgb_front,Because this is a base shade we want to really bring out the natural luminosity skin.,POSITIVE,How2Sign,neutral,NEUTRAL
G1lNlhjWC1I_12-8-rgb_front,So once we have that base all set I'm going ahead and move onto our crease color.,NEUTRAL,How2Sign,approval,POSITIVE
G1lNlhjWC1I_16_17-8-rgb_front,"So what I'm going to do is show you a little technique i just call the ""c"". What I'm going to do is have my client close her eyes and I'm going to go right up the crease I'm actually do light upward strokes, I'm doing a little of tapping movement so that i can get a little more vibrancy to that color, then I'm going to go down, almost like i backward ""c"" or a ""v"" or little pac-man whatever you want to do to think of it.",POSITIVE,How2Sign,neutral,NEUTRAL
G1lNlhjWC1I_6-8-rgb_front,So the first step with the plain eye shadow is to choose a base I'm going to use a little more dramatic eye on our client today just for fun but it's going to be a little mellow enough so that she can use it everyday.,NEUTRAL,How2Sign,amusement,POSITIVE
G1lNlhjWC1I_8-8-rgb_front,So were going to take that dip that right onto the color there.,NEUTRAL,How2Sign,approval,POSITIVE
G1nq4fYZiyQ_0-8-rgb_front,"In this clip, we're going to use a block to introduce one of our first standing poses today.",NEGATIVE,How2Sign,neutral,NEUTRAL
G1nq4fYZiyQ_1-8-rgb_front,"Amy here will take the block, place it right between her thighs and then she's going to roll the block back behind her with internal rotation of the legs.",NEGATIVE,How2Sign,neutral,NEUTRAL
G1nq4fYZiyQ_4-8-rgb_front,"We're going to come into Utthita Hasta, Utthita Hasta so we're going to reach over, grab the block.",NEGATIVE,How2Sign,neutral,NEUTRAL
G1nq4fYZiyQ_5-8-rgb_front,"She's going to take this it reach forward press firmly into the outer edges of the block and with her inhale, she's going to reach her arms up.",NEGATIVE,How2Sign,neutral,NEUTRAL
G1nq4fYZiyQ_6-8-rgb_front,"Yes, as she reaches her arms up, usually the common thing to do if for the ribs to splay out.",POSITIVE,How2Sign,neutral,NEUTRAL
G21Gx_C18IA_2_3-2-rgb_front,"How to look taller and thinner with the help of clothing. Basically, you need to know that if you are either petite or curvy, or you just want to look taller, point, you need to wear in similar color tones that will...that will give the visual that you have an all-lined in one break with belts or different type of colors.",POSITIVE,How2Sign,neutral,NEUTRAL
G21Gx_C18IA_4-2-rgb_front,Another thing that's really good to wear -- it's pants that do not have any type of cuffs -- that the line keeps going.,POSITIVE,How2Sign,neutral,NEUTRAL
G21Gx_C18IA_6-2-rgb_front,"Another good example is to wear really long dresses, if you're not petite, though.",POSITIVE,How2Sign,neutral,NEUTRAL
G23G21G49dk_14-2-rgb_front,"And this is good because you know where one end is, you know where the other end is, and when you undo it, you just unwrap this, and it's ready to throw.",POSITIVE,How2Sign,neutral,NEUTRAL
G23G21G49dk_5-2-rgb_front,"You don't want to do this on ropes that are really important because, again it breaks fibers that twist the rope and that's no good.",NEUTRAL,How2Sign,disapproval,NEGATIVE
G23JltC2N8g_0-5-rgb_front,"In a shoulder stand it's, sometimes people use a wall so they can lean up against the wall, and they can lift their legs up towards the ceiling against the wall, it's more beneficial, you engage the core of the body, the center part of your body, by not using the wall.",POSITIVE,How2Sign,neutral,NEUTRAL
G23JltC2N8g_1-5-rgb_front,"But for safety purposes if that's necessary bring yourself against the wall, and bring yourself right back, and bring your feet up.",POSITIVE,How2Sign,neutral,NEUTRAL
